2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.ObjectResult.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending DATA frame for stream ID 1 with length 77 and flags NONE.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.ObjectResult.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received WINDOW_UPDATE frame for stream ID 1 with length 4 and flags 0x0.
2024-04-30 09:37:46.3071 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-30 09:37:54.9702 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received HEADERS frame for stream ID 3 with length 45 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:37:54.9702 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-30 09:37:54.9702 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-30 09:37:55.0053 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-30 09:37:55.0053 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
