2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:36:14.3227 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
